Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,167,65520,NA
2021-02-28,4491,6713,141570,NA
2021-03-07,14420,15612,207090,NA
2021-03-14,21715,23155,271440,NA
2021-03-21,35595,36598,325260,NA
2021-03-28,56290,56339,396630,NA
2021-04-04,84595,84924,450450,NA
2021-04-11,117992,121483,528840,NA
2021-04-18,164107,171211,607230,NA
2021-04-25,216158,226770,685620,NA
2021-05-02,273749,284933,685620,NA
2021-05-09,338813,366624,746460,NA
2021-05-16,414824,451378,807300,NA
2021-05-23,493606,535512,868140,NA
2021-05-30,581932,637611,928980,NA
2021-06-06,680290,751398,1055790,NA
2021-06-13,793013,854240,1103760,NA
2021-06-20,909422,982540,1252900,NA
2021-06-27,1033848,1115654,1302040,NA
2021-07-04,1161952,1238101,1351180,1161952
2021-07-11,1289999,1367599,1502110,1369338
2021-07-18,1425371,1503572,1682290,1576724
2021-07-25,1633071,1692872,2032290,1750577
2021-08-01,1887555,1947672,2411370,2063064
2021-08-08,2164231,2212913,2769390,2375551
2021-08-15,2451622,2513144,3157830,2654505
2021-08-22,2754616,2797712,3602430,2932955
2021-08-29,3056599,3350660,3985020,3226921
2021-09-05,NA,3903887,4630860,3520887
2021-09-12,NA,4336179,5228730,3814853
2021-09-19,NA,4721203,5729490,4348809
2021-09-26,NA,5054226,6150690,4882765
2021-10-03,NA,5353647,6577740,5416721
2021-10-10,NA,5839011,6800430,5950677
2021-10-17,NA,6351305,7101120,6484633
2021-10-24,NA,6629458,7801560,7018589
2021-10-31,NA,6874532,9396270,7552545
2021-11-07,NA,7063388,9396270,7707286
2021-11-14,NA,7220352,9648990,7862027
2021-11-21,NA,7361879,9956142,8016768
2021-11-28,NA,7499512,10096110,8016768
2021-12-05,NA,7742275,10252170,8016768
2021-12-12,NA,7881974,10292490,8016768
2021-12-19,NA,8008386,10818990,NA
2021-12-26,NA,8110971,10978290,NA
2022-01-02,NA,8189820,10978290,NA
2022-01-09,NA,8389112,11622690,NA
2022-01-16,NA,8674124,11806440,NA
2022-01-23,NA,9021600,12144690,NA
2022-01-30,NA,9430530,12334290,NA
2022-02-06,NA,9769262,12475890,NA
2022-02-13,NA,10114621,12713490,NA
2022-02-20,NA,10401074,12905430,NA
2022-02-27,NA,10603272,13379940,NA
2022-03-06,NA,10735054,14264340,NA
2022-03-13,NA,10805452,15480340,NA
2022-03-20,NA,10881515,15480340,NA
2022-03-27,NA,10939356,15480340,NA
2022-04-03,NA,10975255,15557560,NA
2022-04-10,NA,11000002,15557560,NA
2022-04-17,NA,11013965,15639580,NA
2022-04-24,NA,11029810,15994540,NA
2022-05-01,NA,11046079,16187590,NA
2022-05-08,NA,11056932,16264810,NA
2022-05-15,NA,11066842,16290550,NA
2022-05-22,NA,11075244,16419250,NA
2022-05-29,NA,11084146,16495300,NA
2022-06-05,NA,11092537,16495300,NA
2022-06-12,NA,11100759,16571350,NA
2022-06-19,NA,11110172,16647400,NA
2022-06-26,NA,11118730,16723450,NA
2022-07-03,NA,11157339,16746850,NA
2022-07-10,NA,11225696,16806640,NA
2022-07-17,NA,11323803,16806640,NA
2022-07-24,NA,11407709,16806640,NA
2022-07-31,NA,11478586,16806640,NA
2022-08-07,NA,11541220,16806640,NA
2022-08-14,NA,11592164,16806640,NA
2022-08-21,NA,11637831,16806640,NA
2022-08-28,NA,11675761,16806640,NA
2022-09-04,NA,11704723,16806640,NA
