Date,First doses,Second doses,Third primary doses,Boosters
2021-02-14,1,0,0,0
2021-02-15,1,0,0,0
2021-02-18,1,0,0,0
2021-02-19,29,0,0,0
2021-02-20,65,0,0,0
2021-02-21,69,1,0,0
2021-02-22,448,0,0,0
2021-02-23,358,0,0,0
2021-02-24,813,0,0,0
2021-02-25,1101,0,0,0
2021-02-26,1604,0,0,0
2021-02-27,1338,0,0,0
2021-02-28,885,0,0,0
2021-03-01,1410,0,0,0
2021-03-02,1486,0,0,0
2021-03-03,1980,0,0,0
2021-03-04,1633,0,0,0
2021-03-05,1279,2,0,0
2021-03-06,603,1,0,0
2021-03-07,511,0,0,0
2021-03-08,1073,0,0,0
2021-03-09,1424,0,0,0
2021-03-10,1316,0,0,0
2021-03-11,1334,0,0,0
2021-03-12,1043,6,0,0
2021-03-13,751,6,0,0
2021-03-14,576,14,0,0
2021-03-15,1614,267,0,0
2021-03-16,1928,233,0,0
2021-03-17,1643,365,0,0
2021-03-18,1594,474,0,0
2021-03-19,1692,773,0,0
2021-03-20,556,716,0,0
2021-03-21,943,646,0,0
2021-03-22,1036,1220,0,0
2021-03-23,1588,1107,0,0
2021-03-24,1970,1586,1,0
2021-03-25,1820,1534,0,0
2021-03-26,3378,1293,0,0
2021-03-27,1160,874,0,0
2021-03-28,685,491,0,0
2021-03-29,3808,1128,0,0
2021-03-30,4167,1502,0,0
2021-03-31,5453,1347,0,0
2021-04-01,5201,1253,0,0
2021-04-02,1725,295,0,0
2021-04-03,1413,335,0,0
2021-04-04,760,196,0,0
2021-04-05,923,291,0,0
2021-04-06,3521,1441,0,0
2021-04-07,5124,2148,0,0
2021-04-08,6466,1766,0,0
2021-04-09,5424,1932,0,0
2021-04-10,3268,692,0,0
2021-04-11,2479,1081,0,0
2021-04-12,6047,1724,0,0
2021-04-13,6813,1628,1,0
2021-04-14,6633,1524,0,0
2021-04-15,6888,1844,0,0
2021-04-16,6865,2636,0,0
2021-04-17,3898,1154,0,0
2021-04-18,1480,592,0,0
2021-04-19,5095,2038,0,0
2021-04-20,6099,2987,0,0
2021-04-21,6755,3431,0,0
2021-04-22,6539,3882,0,0
2021-04-23,8147,3546,0,0
2021-04-24,3274,1382,0,0
2021-04-25,1471,909,0,0
2021-04-26,1389,862,0,0
2021-04-27,6801,3211,0,0
2021-04-28,7301,3673,0,0
