Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,167,65520,NA
2021-02-28,4491,6712,141570,NA
2021-03-07,14420,15611,207090,NA
2021-03-14,21715,23154,271440,NA
2021-03-21,35595,36597,325260,NA
2021-03-28,56290,56338,396630,NA
2021-04-04,84595,84923,450450,NA
2021-04-11,117992,121481,528840,NA
2021-04-18,164107,171209,607230,NA
2021-04-25,216158,226766,685620,NA
2021-05-02,273749,284926,685620,NA
2021-05-09,338813,366614,746460,NA
2021-05-16,414824,451367,807300,NA
2021-05-23,493606,535501,868140,NA
2021-05-30,581932,637601,928980,NA
2021-06-06,680290,751388,1055790,NA
2021-06-13,793013,854226,1103760,NA
2021-06-20,909422,982529,1252900,NA
2021-06-27,1033848,1115642,1302040,NA
2021-07-04,1161952,1238088,1351180,1161952
2021-07-11,1289999,1367586,1502110,1369338
2021-07-18,1425371,1503562,1682290,1576724
2021-07-25,1633071,1692859,2032290,1750577
2021-08-01,1887555,1947660,2411370,2063064
2021-08-08,2164231,2212901,2769390,2375551
2021-08-15,2451622,2513132,3157830,2654505
2021-08-22,2754616,2797701,3602430,2932955
2021-08-29,3056599,3350648,3985020,3226921
2021-09-05,NA,3903873,4630860,3520887
2021-09-12,NA,4336167,5228730,3814853
2021-09-19,NA,4721191,5729490,4348809
2021-09-26,NA,5054214,6150690,4882765
2021-10-03,NA,5353635,6577740,5416721
2021-10-10,NA,5839000,6800430,5950677
2021-10-17,NA,6351291,7101120,6484633
2021-10-24,NA,6629446,7801560,7018589
2021-10-31,NA,6874517,9396270,7552545
2021-11-07,NA,7063372,9396270,7707286
2021-11-14,NA,7220333,9648990,7862027
2021-11-21,NA,7361861,9956142,8016768
2021-11-28,NA,7499490,10096110,8016768
2021-12-05,NA,7742238,10252170,8016768
2021-12-12,NA,7881931,10292490,8016768
2021-12-19,NA,8008337,10818990,NA
2021-12-26,NA,8110904,10978290,NA
2022-01-02,NA,8189750,10978290,NA
2022-01-09,NA,8389011,11622690,NA
2022-01-16,NA,8673998,11806440,NA
2022-01-23,NA,9021450,12144690,NA
2022-01-30,NA,9430352,12334290,NA
2022-02-06,NA,9769071,12475890,NA
2022-02-13,NA,10114424,12713490,NA
2022-02-20,NA,10400857,12905430,NA
2022-02-27,NA,10603052,13379940,NA
2022-03-06,NA,10734832,14264340,NA
2022-03-13,NA,10805229,15480340,NA
2022-03-20,NA,10881292,15480340,NA
2022-03-27,NA,10939128,15480340,NA
2022-04-03,NA,10975026,15557560,NA
2022-04-10,NA,10999751,15557560,NA
2022-04-17,NA,11013704,15639580,NA
2022-04-24,NA,11029543,15994540,NA
2022-05-01,NA,11045809,16187590,NA
2022-05-08,NA,11056659,16264810,NA
2022-05-15,NA,11066568,16290550,NA
2022-05-22,NA,11074961,16419250,NA
2022-05-29,NA,11083849,16495300,NA
2022-06-05,NA,11092194,16495300,NA
2022-06-12,NA,11100401,16571350,NA
2022-06-19,NA,11109791,16647400,NA
2022-06-26,NA,11118306,16723450,NA
2022-07-03,NA,11156570,16746850,NA
