sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,NA,NA,532,221,1790,297,123
100100,North Cape,Northland,44,16,142,310,113
100200,Rangaunu Harbour,Northland,34,14,190,179,74
100400,Karikari Peninsula,Northland,20,5,88,227,57
100500,Tangonge,Northland,20,Masked,98,204,<50
100600,Ahipara,Northland,36,9,106,340,85
100700,Kaitaia East,Northland,83,24,298,279,81
100800,Kaitaia West,Northland,82,29,370,222,78
100900,Rangitihi,Northland,8,Masked,56,143,54
101000,Oruru-Parapara,Northland,14,6,66,212,91
101100,Taumarumaru,Northland,33,13,Masked,243,96
101200,Herekino-Takahue,Northland,25,Masked,81,309,<50
101300,Peria,Northland,16,6,90,178,67
101400,Taemaro-Oruaiti,Northland,19,7,68,279,103
101500,Whakapaku,Northland,17,Masked,59,288,68
101600,Hokianga North,Northland,36,10,124,290,81
101700,Kohukohu-Broadwood,Northland,13,Masked,50,260,60
101800,Whakarara,Northland,33,19,70,471,271
101900,Kaeo,Northland,37,17,110,336,155
102000,Omahuta Forest-Horeke,Northland,14,9,124,113,73
102100,Hokianga South,Northland,28,14,104,269,135
102200,Lake Manuwai-Kapiro,Northland,19,Masked,65,292,<50
102300,?kaihau,Northland,13,Masked,62,210,65
102400,Rangitane-Purerua,Northland,11,5,60,183,83
102500,Waipapa,Northland,Masked,Masked,Masked,Masked,Masked
102600,Puketotara,Northland,23,Masked,53,434,57
102700,Waim? Forest,Northland,21,7,130,162,54
102800,Riverview,Northland,21,Masked,52,404,77
102900,Waipoua Forest,Northland,14,5,99,141,51
103000,Kerikeri Central,Northland,29,11,101,287,109
103100,Kerikeri South,Northland,20,5,Masked,392,98
103200,?haeawai-Waimate North,Northland,12,7,74,162,95
103300,Puketona-Waitangi,Northland,23,Masked,44,523,68
103400,Ngapuhi,Northland,34,8,167,204,<50
103500,Kaikohe,Northland,149,53,613,243,86
103600,Pakaraka,Northland,Masked,Masked,Masked,Masked,Masked
103700,Haruru,Northland,27,6,59,458,102
103800,Russell,Northland,Masked,Masked,Masked,Masked,Masked
103900,Paihia,Northland,15,5,73,205,68
104000,Mataraua Forest,Northland,10,5,53,189,94
104100,Matawaia-Taumarere,Northland,42,7,163,258,<50
104200,Russell Peninsula,Northland,Masked,Masked,Masked,Masked,Masked
104300,Opua (Far North District),Northland,Masked,Masked,Masked,Masked,Masked
104400,Russell Forest-Rawhiti,Northland,10,Masked,66,152,<50
104500,Moerewa,Northland,32,8,229,140,<50
104600,Kawakawa,Northland,36,10,150,240,67
104700,Maromaku,Northland,22,Masked,75,293,53
104800,Mangakahia-H?kerenui,Northland,28,5,130,215,<50
104900,Whangaruru,Northland,42,7,138,304,51
105100,Matarau,Northland,27,11,88,307,125
105200,Hikurangi,Northland,44,18,132,333,136
105300,Kauri,Northland,16,5,58,276,86
105400,Maungatapere,Northland,35,15,102,343,147
105500,Kamo West,Northland,42,17,91,462,187
105600,Matapouri-Tutukaka,Northland,Masked,Masked,Masked,Masked,Masked
105700,Kiripaka,Northland,Masked,Masked,Masked,Masked,Masked
105800,Kamo East,Northland,70,18,240,292,75
105900,Granfield Reserve,Northland,28,9,87,322,103
106000,Kamo Central,Northland,38,15,97,392,155
106100,Whau Valley,Northland,41,12,126,325,95
106200,Tikipunga North,Northland,75,17,256,293,66
106300,Pukenui,Northland,28,7,58,483,121
106400,Otangarei,Northland,46,10,292,158,<50
106500,Tikipunga South,Northland,99,21,286,346,73
106600,Kensington (Whangarei District),Northland,22,10,115,191,87
106700,Abbey Caves-Glenbervie,Northland,Masked,Masked,Masked,Masked,Masked
106800,Mairtown,Northland,38,12,95,400,126
106900,Maunu-Horahora,Northland,43,16,98,439,163
107000,Woodhill-Vinetown,Northland,30,10,106,283,94
107100,Whang?rei Central,Northland,Masked,Masked,Masked,Masked,Masked
107200,Riverside,Northland,31,6,84,369,71
107300,Raumanga,Northland,94,23,347,271,66
107400,Tarewa,Northland,61,20,219,279,91
107500,Morningside (Whangarei District),Northland,47,18,131,359,137
107600,Ngunguru,Northland,15,5,44,341,114
107700,Otaika-Portland,Northland,18,10,57,316,175
107800,Oakleigh-Mangapai,Northland,12,7,53,226,132
107900,Port-Limeburners,Northland,Masked,Masked,Masked,Masked,Masked
108000,Pataua,Northland,8,Masked,44,182,91
108100,Onerahi Park,Northland,19,8,47,404,170
108200,Sherwood Rise,Northland,39,14,153,255,92
108300,Onerahi,Northland,38,17,150,253,113
108500,Parua Bay,Northland,27,7,56,482,125
108600,Bream Bay,Northland,18,8,72,250,111
108700,Marsden Bay,Northland,22,10,82,268,122
108800,Ruak?k?,Northland,44,9,143,308,63
108900,Bream Head,Northland,Masked,Masked,Masked,Masked,Masked
109000,Waipu,Northland,13,6,54,241,111
109100,Kaipara Coastal,Northland,41,12,173,237,69
109200,Maungaru,Northland,19,Masked,59,322,68
109300,Dargaville,Northland,48,21,275,175,76
109400,Ruawai-Matakohe,Northland,24,9,110,218,82
109500,Otamatea (Kaipara District),Northland,9,Masked,46,196,<50
109600,Maungaturoto,Northland,18,Masked,53,340,57
109700,Kaiwaka,Northland,22,Masked,88,250,<50
109800,Mangawhai Rural,Northland,11,7,59,186,119
109900,Mangawhai Heads,Northland,16,6,48,333,125
110100,Mangawhai,Northland,Masked,Masked,Masked,Masked,Masked
110200,Okahukura Peninsula,Waitemata,10,5,48,208,104
110400,Cape Rodney,Waitemata,29,20,68,426,294
110500,Wellsford,Waitemata,13,7,64,203,109
110700,South Head,Waitemata,23,Masked,85,271,<50
110800,Kaipara Hills,Waitemata,14,5,55,255,91
110900,Dome Valley-Matakana,Waitemata,Masked,Masked,Masked,Masked,Masked
111100,Warkworth West,Waitemata,Masked,Masked,Masked,Masked,Masked
111200,Puhoi Valley,Waitemata,Masked,Masked,Masked,Masked,Masked
111300,Warkworth East,Waitemata,11,7,44,250,159
