sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,14,11,20,700,550
100200,Rangaunu Harbour,Northland,28,15,37,757,405
100400,Karikari Peninsula,Northland,15,14,25,600,560
100500,Tangonge,Northland,masked,5 or less,masked,643,357
100600,Ahipara,Northland,15,9,21,714,429
100700,Kaitaia East,Northland,38,28,48,792,583
100800,Kaitaia West,Northland,78,53,102,765,520
100900,Rangitihi,Northland,masked,5 or less,masked,615,308
101000,Oruru-Parapara,Northland,5 or less,5 or less,masked,385,231
101100,Taumarumaru,Northland,28,25,37,757,676
101200,Herekino-Takahue,Northland,masked,5 or less,masked,750,333
101300,Peria,Northland,9,7,15,600,467
101400,Taemaro-Oruaiti,Northland,5 or less,5 or less,masked,200,67
101500,Whakapaku,Northland,5 or less,5 or less,masked,375,125
101600,Hokianga North,Northland,masked,5 or less,masked,636,273
101700,Kohukohu-Broadwood,Northland,5 or less,5 or less,masked,91,<50
101800,Whakarara,Northland,5 or less,5 or less,masked,417,167
101900,Kaeo,Northland,masked,5 or less,masked,650,150
102000,Omahuta Forest-Horeke,Northland,5 or less,5 or less,masked,500,<50
102100,Hokianga South,Northland,masked,5 or less,masked,438,312
102200,Lake Manuwai-Kapiro,Northland,masked,masked,29,>950,>950
102300,Okaihau,Northland,30,19,34,882,559
102400,Rangitane-Purerua,Northland,13,13,20,650,650
102500,Waipapa,Northland,5 or less,5 or less,masked,444,333
102600,Puketotara,Northland,masked,24,30,>950,800
102700,Waima Forest,Northland,7,8,18,389,444
102800,Riverview,Northland,15,11,22,682,500
102900,Waipoua Forest,Northland,10,8,17,588,471
103000,Kerikeri Central,Northland,masked,masked,56,>950,>950
103100,Kerikeri South,Northland,20,19,34,588,559
103200,Ohaeawai-Waimate North,Northland,masked,5 or less,masked,500,278
103300,Puketona-Waitangi,Northland,5 or less,5 or less,masked,>950,667
103400,Ngapuhi,Northland,14,10,19,737,526
103500,Kaikohe,Northland,70,51,102,686,500
103600,Pakaraka,Northland,5 or less,5 or less,masked,>950,<50
103700,Haruru,Northland,13,12,16,812,750
103800,Russell,Northland,8,8,9,889,889
103900,Paihia,Northland,23,14,26,885,538
104000,Mataraua Forest,Northland,5 or less,5 or less,masked,364,91
104100,Matawaia-Taumarere,Northland,8,6,19,421,316
104200,Russell Peninsula,Northland,5 or less,5 or less,masked,>950,667
104300,Opua (Far North District),Northland,masked,5 or less,masked,769,231
104400,Russell Forest-Rawhiti,Northland,5 or less,5 or less,masked,222,222
104500,Moerewa,Northland,19,18,35,543,514
104600,Kawakawa,Northland,23,19,29,793,655
104700,Maromaku,Northland,5 or less,5 or less,masked,333,222
104800,Mangakahia-Hukerenui,Northland,masked,5 or less,masked,467,67
