Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,167,65520,NA
2021-02-28,4491,6713,141570,NA
2021-03-07,14420,15612,207090,NA
2021-03-14,21715,23155,271440,NA
2021-03-21,35595,36598,325260,NA
2021-03-28,56290,56339,396630,NA
2021-04-04,84595,84924,450450,NA
2021-04-11,117992,121482,528840,NA
2021-04-18,164107,171210,607230,NA
2021-04-25,216158,226767,685620,NA
2021-05-02,273749,284928,685620,NA
2021-05-09,338813,366619,746460,NA
2021-05-16,414824,451373,807300,NA
2021-05-23,493606,535506,868140,NA
2021-05-30,581932,637605,928980,NA
2021-06-06,680290,751393,1055790,NA
2021-06-13,793013,854233,1103760,NA
2021-06-20,909422,982534,1252900,NA
2021-06-27,1033848,1115648,1302040,NA
2021-07-04,1161952,1238095,1351180,1161952
2021-07-11,1289999,1367593,1502110,1369338
2021-07-18,1425371,1503567,1682290,1576724
2021-07-25,1633071,1692866,2032290,1750577
2021-08-01,1887555,1947665,2411370,2063064
2021-08-08,2164231,2212906,2769390,2375551
2021-08-15,2451622,2513136,3157830,2654505
2021-08-22,2754616,2797705,3602430,2932955
2021-08-29,3056599,3350653,3985020,3226921
2021-09-05,NA,3903877,4630860,3520887
2021-09-12,NA,4336171,5228730,3814853
2021-09-19,NA,4721195,5729490,4348809
2021-09-26,NA,5054218,6150690,4882765
2021-10-03,NA,5353637,6577740,5416721
2021-10-10,NA,5839001,6800430,5950677
2021-10-17,NA,6351295,7101120,6484633
2021-10-24,NA,6629449,7801560,7018589
2021-10-31,NA,6874523,9396270,7552545
2021-11-07,NA,7063381,9396270,7707286
2021-11-14,NA,7220342,9648990,7862027
2021-11-21,NA,7361872,9956142,8016768
2021-11-28,NA,7499504,10096110,8016768
2021-12-05,NA,7742267,10252170,8016768
2021-12-12,NA,7881963,10292490,8016768
2021-12-19,NA,8008373,10818990,NA
2021-12-26,NA,8110951,10978290,NA
2022-01-02,NA,8189799,10978290,NA
2022-01-09,NA,8389084,11622690,NA
2022-01-16,NA,8674087,11806440,NA
2022-01-23,NA,9021555,12144690,NA
2022-01-30,NA,9430473,12334290,NA
2022-02-06,NA,9769197,12475890,NA
2022-02-13,NA,10114553,12713490,NA
2022-02-20,NA,10400996,12905430,NA
2022-02-27,NA,10603192,13379940,NA
2022-03-06,NA,10734973,14264340,NA
2022-03-13,NA,10805371,15480340,NA
2022-03-20,NA,10881434,15480340,NA
2022-03-27,NA,10939273,15480340,NA
2022-04-03,NA,10975172,15557560,NA
2022-04-10,NA,10999921,15557560,NA
2022-04-17,NA,11013878,15639580,NA
2022-04-24,NA,11029721,15994540,NA
2022-05-01,NA,11045987,16187590,NA
2022-05-08,NA,11056837,16264810,NA
2022-05-15,NA,11066747,16290550,NA
2022-05-22,NA,11075143,16419250,NA
2022-05-29,NA,11084038,16495300,NA
2022-06-05,NA,11092419,16495300,NA
2022-06-12,NA,11100631,16571350,NA
2022-06-19,NA,11110031,16647400,NA
2022-06-26,NA,11118574,16723450,NA
2022-07-03,NA,11157069,16746850,NA
2022-07-10,NA,11225413,16806640,NA
2022-07-17,NA,11323501,16806640,NA
2022-07-24,NA,11407361,16806640,NA
2022-07-31,NA,11478088,16806640,NA
